"NUMERO";"LAMBX";"LAMBY";"DATE";"SWI_UNIF_MENS3"
9750;609427;6155320;200401;1,046
9750;609427;6155320;200402;1,208
9750;609427;6155320;200403;1,205
9750;609427;6155320;200404;1,207
9750;609427;6155320;200405;1,149
9750;609427;6155320;200406;0,971
9750;609427;6155320;200407;0,687
9750;609427;6155320;200408;0,418
9750;609427;6155320;200409;0,303
9750;609427;6155320;200410;0,277
9750;609427;6155320;200411;0,325
9750;609427;6155320;200412;0,499
9750;609427;6155320;200501;0,713
9750;609427;6155320;200502;0,862
9750;609427;6155320;200503;0,99
9750;609427;6155320;200504;1,093
9750;609427;6155320;200505;1,042
9750;609427;6155320;200506;0,796
9750;609427;6155320;200507;0,498
9750;609427;6155320;200508;0,333
9750;609427;6155320;200509;0,307
9750;609427;6155320;200510;0,365
9750;609427;6155320;200511;0,503
9750;609427;6155320;200512;0,679
9750;609427;6155320;200601;0,845
9750;609427;6155320;200602;0,984
9750;609427;6155320;200603;1,177
9750;609427;6155320;200604;1,225
9750;609427;6155320;200605;1,063
9750;609427;6155320;200606;0,685
9750;609427;6155320;200607;0,414
9750;609427;6155320;200608;0,3
9750;609427;6155320;200609;0,325
9750;609427;6155320;200610;0,369
9750;609427;6155320;200611;0,387
9750;609427;6155320;200612;0,372
9750;609427;6155320;200701;0,327
9750;609427;6155320;200702;0,358
9750;609427;6155320;200703;0,402
9750;609427;6155320;200704;0,535
9750;609427;6155320;200705;0,58
9750;609427;6155320;200706;0,513
9750;609427;6155320;200707;0,333
9750;609427;6155320;200708;0,255
9750;609427;6155320;200709;0,228
9750;609427;6155320;200710;0,262
9750;609427;6155320;200711;0,233
9750;609427;6155320;200712;0,294
9750;609427;6155320;200801;0,419
9750;609427;6155320;200802;0,577
9750;609427;6155320;200803;0,701
9750;609427;6155320;200804;0,817
9750;609427;6155320;200805;0,923
9750;609427;6155320;200806;0,987
9750;609427;6155320;200807;0,795
9750;609427;6155320;200808;0,536
9750;609427;6155320;200809;0,321
9750;609427;6155320;200810;0,27
9750;609427;6155320;200811;0,498
9750;609427;6155320;200812;0,754
9750;609427;6155320;200901;1,066
9750;609427;6155320;200902;1,178
9750;609427;6155320;200903;1,194
9750;609427;6155320;200904;1,187
9750;609427;6155320;200905;1,089
9750;609427;6155320;200906;0,886
9750;609427;6155320;200907;0,639
9750;609427;6155320;200908;0,41
9750;609427;6155320;200909;0,336
9750;609427;6155320;200910;0,305
9750;609427;6155320;200911;0,418
9750;609427;6155320;200912;0,592
9750;609427;6155320;201001;0,828
9750;609427;6155320;201002;0,997
9750;609427;6155320;201003;1,141
9750;609427;6155320;201004;1,134
9750;609427;6155320;201005;1,113
9750;609427;6155320;201006;0,986
9750;609427;6155320;201007;0,851
9750;609427;6155320;201008;0,619
9750;609427;6155320;201009;0,432
9750;609427;6155320;201010;0,421
9750;609427;6155320;201011;0,513
9750;609427;6155320;201012;0,661
9750;609427;6155320;201101;0,708
9750;609427;6155320;201102;0,729
9750;609427;6155320;201103;0,803
9750;609427;6155320;201104;0,815
9750;609427;6155320;201105;0,772
9750;609427;6155320;201106;0,64
9750;609427;6155320;201107;0,492
9750;609427;6155320;201108;0,371
9750;609427;6155320;201109;0,255
9750;609427;6155320;201110;0,208
9750;609427;6155320;201111;0,345
9750;609427;6155320;201112;0,496
9750;609427;6155320;201201;0,633
9750;609427;6155320;201202;0,615
9750;609427;6155320;201203;0,593
9750;609427;6155320;201204;0,648
9750;609427;6155320;201205;0,674
9750;609427;6155320;201206;0,583
9750;609427;6155320;201207;0,384
9750;609427;6155320;201208;0,209
9750;609427;6155320;201209;0,165
9750;609427;6155320;201210;0,233
9750;609427;6155320;201211;0,364
9750;609427;6155320;201212;0,511
9750;609427;6155320;201301;0,612
9750;609427;6155320;201302;0,724
9750;609427;6155320;201303;0,945
9750;609427;6155320;201304;1,053
9750;609427;6155320;201305;1,103
9750;609427;6155320;201306;0,968
9750;609427;6155320;201307;0,858
9750;609427;6155320;201308;0,639
9750;609427;6155320;201309;0,462
9750;609427;6155320;201310;0,347
9750;609427;6155320;201311;0,405
9750;609427;6155320;201312;0,588
9750;609427;6155320;201401;0,883
9750;609427;6155320;201402;1,128
9750;609427;6155320;201403;1,215
9750;609427;6155320;201404;1,147
9750;609427;6155320;201405;0,964
9750;609427;6155320;201406;0,72
9750;609427;6155320;201407;0,546
9750;609427;6155320;201408;0,451
9750;609427;6155320;201409;0,451
9750;609427;6155320;201410;0,431
9750;609427;6155320;201411;0,417
9750;609427;6155320;201412;0,625
9750;609427;6155320;201501;0,822
9750;609427;6155320;201502;1,056
9750;609427;6155320;201503;1,101
9750;609427;6155320;201504;1,079
9750;609427;6155320;201505;0,924
9750;609427;6155320;201506;0,724
9750;609427;6155320;201507;0,503
9750;609427;6155320;201508;0,425
9750;609427;6155320;201509;0,363
9750;609427;6155320;201510;0,387
9750;609427;6155320;201511;0,401
9750;609427;6155320;201512;0,422
9750;609427;6155320;201601;0,483
9750;609427;6155320;201602;0,536
9750;609427;6155320;201603;0,632
9750;609427;6155320;201604;0,71
9750;609427;6155320;201605;0,738
9750;609427;6155320;201606;0,663
9750;609427;6155320;201607;0,515
9750;609427;6155320;201608;0,361
9750;609427;6155320;201609;0,282
9750;609427;6155320;201610;0,285
9750;609427;6155320;201611;0,36
9750;609427;6155320;201612;0,464
9750;609427;6155320;201701;0,54
9750;609427;6155320;201702;0,671
9750;609427;6155320;201703;0,846
9750;609427;6155320;201704;0,965
9750;609427;6155320;201705;0,936
9750;609427;6155320;201706;0,768
9750;609427;6155320;201707;0,622
9750;609427;6155320;201708;0,467
9750;609427;6155320;201709;0,384
9750;609427;6155320;201710;0,362
9750;609427;6155320;201711;0,407
9750;609427;6155320;201712;0,439
9750;609427;6155320;201801;0,593
9750;609427;6155320;201802;0,833
9750;609427;6155320;201803;1,152
9750;609427;6155320;201804;1,257
9750;609427;6155320;201805;1,229
9750;609427;6155320;201806;1,03
9750;609427;6155320;201807;0,778
9750;609427;6155320;201808;0,551
9750;609427;6155320;201809;0,389
9750;609427;6155320;201810;0,461
9750;609427;6155320;201811;0,694
9750;609427;6155320;201812;0,91
9750;609427;6155320;201901;0,985
9750;609427;6155320;201902;0,986
9750;609427;6155320;201903;0,936
9750;609427;6155320;201904;0,954
9750;609427;6155320;201905;0,879
9750;609427;6155320;201906;0,746
9750;609427;6155320;201907;0,535
9750;609427;6155320;201908;0,341
9750;609427;6155320;201909;0,294
9750;609427;6155320;201910;0,334
9750;609427;6155320;201911;0,566
9750;609427;6155320;201912;0,906
9750;609427;6155320;202001;1,157
9750;609427;6155320;202002;1,263
9750;609427;6155320;202003;1,171
9750;609427;6155320;202004;1,123
9750;609427;6155320;202005;0,995
9750;609427;6155320;202006;0,916
9750;609427;6155320;202007;0,712
9750;609427;6155320;202008;0,505
9750;609427;6155320;202009;0,434
9750;609427;6155320;202010;0,574
9750;609427;6155320;202011;0,752
9750;609427;6155320;202012;0,876
9750;609427;6155320;202101;0,962
9750;609427;6155320;202102;1,095
9750;609427;6155320;202103;1,091
9750;609427;6155320;202104;0,959
9750;609427;6155320;202105;0,813
9750;609427;6155320;202106;0,682
9750;609427;6155320;202107;0,545
9750;609427;6155320;202108;0,389
9750;609427;6155320;202109;0,281
9750;609427;6155320;202110;0,298
9750;609427;6155320;202111;0,416
9750;609427;6155320;202112;0,626
9751;617418;6155253;196901;1,003
9751;617418;6155253;196902;1,158
9751;617418;6155253;196903;1,151
9751;617418;6155253;196904;1,197
9751;617418;6155253;196905;1,202
9751;617418;6155253;196906;1,04
9751;617418;6155253;196907;0,782
9751;617418;6155253;196908;0,551
9751;617418;6155253;196909;0,449
9751;617418;6155253;196910;0,406
9751;617418;6155253;196911;0,422
9751;617418;6155253;196912;0,536
9751;617418;6155253;197001;0,776
9751;617418;6155253;197002;0,976
9751;617418;6155253;197003;1,083
9751;617418;6155253;197004;1,051
9751;617418;6155253;197005;0,999
9751;617418;6155253;197006;0,827
9751;617418;6155253;197007;0,631
9751;617418;6155253;197008;0,433
9751;617418;6155253;197009;0,359
9751;617418;6155253;197010;0,468
9751;617418;6155253;197011;0,635
9751;617418;6155253;197012;0,834
9751;617418;6155253;197101;0,95
9751;617418;6155253;197102;1,074
9751;617418;6155253;197103;1,178
9751;617418;6155253;197104;1,259
9751;617418;6155253;197105;1,234
9751;617418;6155253;197106;1,06
9751;617418;6155253;197107;0,732
9751;617418;6155253;197108;0,454
